Aida Asuka,40,81
Eikawa Noa,40,160
Serizawa Ren,40,70
Oosawa Tsukushi,40,100
Hakutou Kokona,40,79
Tomita Yui,40,88
Wakamiya Rina,40,79
Araki Hitomi,40,50
Nagasawa Erina,40,40
Azuma Itsuki,40,55
Sakura Momo,40,76
Yamagishi Aika,40,52
Erina Moa,40,42
Takeuchi Makoto,39,86
Hitomi Ryou,39,65
Akane Aoi,39,49
Satou Airi,39,138
Konno Mako,39,87
Uchiyama Mai,39,80
Mori Mairi,39,66
Minatsuki Hikaru,39,97
Saotome Rabu,39,122
Ogura Yuna,39,40
Kanae Renon,39,91
Ami,39,52
Handa Sasa,39,42
Maeno Satomi,39,50
Ijima Kaori,39,44
Nagisa Kotomi,39,40
Otonashi Kaori,38,76
Niiyama Saya,38,71
Fujimoto Shion,38,112
Kuroki Ikumi,38,80
Matsushita Yuuka,38,65
Junna Momo,38,52
Hinagiku Tsubasa,38,67
Shibuya Rika,38,45
Hirayama Kaoru,38,59
Haneda Ai,37,99
Katase Hitomi,37,80
Kirishima Minako,37,56
Sugisaki Shizuka,37,56
Hazuki Moe,37,63
Igawa Yui,37,79
Saionji Reo,37,66
Suzune Riona,37,72
Hayase Arisu,37,74
Tsubaki Kaname,37,66
Nemoto Jun,37,39
Machimura Sayoko,37,42
Miori Mai,36,72
Momoi Anna,36,65
Kawane Kurumi,36,93
Kodama Rumi,36,56
Mori Hotaru,36,69
Sanada Mizuki,36,89
Katou Momoka,36,92
Kotaki Miina,36,48
Aiuchi Nozomi,36,87
Nagase Aki,36,81
Sawamura Maya,36,55
Higashio Mako,36,58
Kawagoe Yui,36,109
Misaki Nanami,36,57
Fujisaki Kuroe,36,64
Aso Nozomi,36,37
Komori Ai,36,41
Yumemi Honoka,36,50
Kanzaki Miki,36,45
Hoshimiya Ichika,36,43
Nishimiya Yume,36,71
Fuuko,36,46
Suo Yukiko,35,151
Kurokawa Sarina,35,59
Shiomi Yuriko,35,43
Miyano Yukana,35,86
Kawakita Haruna,35,96
Shiiba Mikuru,35,61
Yuuri Maina,35,124
Shinozaki Kanna,35,80
Harusaki Azumi,35,150
Eiro Chika,35,104
Kawase Sayaka,35,51
Tsuji Saki,35,129
Yoshida Hana,35,67
Matsushita Hikari,35,79
Asano Harumi,35,129
Aoi Buruma,35,93
Fuyue Kotone,35,84
Takayama Emiri,35,62
Miyazawa Chiharu,35,90
